iso3,country,leader_name,leader_dob,leader_age,leader_percentile,leader_ex,population_median,population_ex,age_gap,ex_gap,ofi
BFA,Burkina Faso,Ibrahim Traoré,1988-03-14,38.0,79.696,35.919,19.0,53.043,19.0,-17.124,0.5420938270570265
BGD,Bangladesh,Tarique Rahman,1968-11-20,57.0,87.869,25.148,27.0,52.771,30.0,-27.623,0.6912006928767747
BGR,Bulgaria,Rumen Radev,1963-06-18,63.0,74.941,20.457,46.0,32.924,17.0,-12.468,0.46709552698921597
BHR,Bahrain,Hamad bin Isa Al Khalifa,1958-01-28,68.0,97.063,20.057,34.0,52.69,34.0,-32.632,0.7802429980461215
BHS,Bahamas,Philip Davis,1951-06-07,75.0,94.636,11.979,36.0,42.762,39.0,-30.783,0.7512611605382867
BIH,Bosnia and Herzegovina,Denis Bećirović; Željka Cvijanović; Željko Komšić,1975-11-28; 1967-03-04; 1964-01-20,57.0,64.644,25.716,47.0,34.751,10.0,-9.034,0.38884741994772193
BLR,Belarus,Alexander Lukashenko,1954-08-30,71.0,89.124,13.102,42.0,36.393,29.0,-23.291,0.6482549760703731
BLZ,Belize,Johnny Briceño,1960-07-17,66.0,95.082,16.003,28.0,50.312,38.0,-34.309,0.7892589708074277
BOL,Bolivia,Rodrigo Paz,1967-09-22,58.0,89.77,22.243,26.0,48.2,32.0,-25.957,0.6805647030224239
BRA,Brazil,Lula,1945-10-27,80.0,97.851,8.423,36.0,43.982,44.0,-35.559,0.8132997304192348
BRB,Barbados,Mia Mottley,1965-10-01,60.0,75.664,21.38,40.0,38.85,20.0,-17.47,0.5323172738132776
BRN,Brunei,Hassanal Bolkiah,1946-07-15,80.0,99.067,7.287,34.0,47.237,46.0,-39.95,0.8614969191277858
BTN,Bhutan,Tshering Tobgay,1965-09-19,60.0,89.961,18.976,31.0,46.047,29.0,-27.071,0.6934382009234853
BWA,Botswana,Duma Boko,1969-12-31,56.0,91.23,22.047,24.0,52.766,32.0,-30.719,0.7369582043779688
CAF,Central African Republic,Faustin-Archange Touadéra,1957-04-21,69.0,98.658,12.949,15.0,49.757,54.0,-36.808,0.8291254090908081
CAN,Canada,Mark Carney,1965-03-16,61.0,73.939,25.824,41.0,44.291,20.0,-18.467,0.5377617987238091
CHE,Switzerland,Guy Parmelin; Viktor Rossi; Élisabeth Baume-Schneider; Karin Keller-Sutter; Ignazio Cassis; Albert Rösti; Beat Jans; Martin Pfister,1959-11-09; 1968-10-31; 1963-12-24; 1963-12-22; 1961-04-13; 1967-08-07; 1964-07-12; 1963-07-31,62.0,74.919,26.228,44.0,45.1,18.0,-18.872,0.5459649512560307
CHL,Chile,José Antonio Kast,1966-01-18,60.0,79.34,24.995,38.0,47.925,22.0,-22.93,0.6077233745710297
CHN,China,Xi Jinping,1953-06-15,73.0,92.513,14.562,41.0,40.547,32.0,-25.984,0.6911853094503674
CIV,Côte d'Ivoire,Alassane Ouattara,1942-01-01,84.0,99.852,6.292,19.0,52.346,65.0,-46.054,0.9217595499912111
CMR,Cameroon,Paul Biya,1933-02-13,93.0,99.988,3.131,19.0,54.467,74.0,-51.336,0.9689275831213255
COD,Democratic Republic of the Congo,Félix Tshisekedi,1963-06-13,63.0,96.265,17.058,16.0,53.586,47.0,-36.528,0.8162610815991004
COG,Congo,Denis Sassou Nguesso,1943-11-23,82.0,99.768,5.867,19.0,54.385,63.0,-48.518,0.94334368286431
COL,Colombia,Abelardo de la Espriella,1978-07-31,48.0,70.706,36.319,33.0,50.302,15.0,-13.983,0.4729714575602493
COM,Comoros,Azali Assoumani,1959-01-01,67.0,96.3,13.221,21.0,51.195,46.0,-37.974,0.8305014750137413
CPV,Cabo Verde,Francisco Carvalho,1970-12-04,55.0,84.412,25.353,30.0,47.964,25.0,-22.611,0.6232575353201383
CRI,Costa Rica,Laura Fernández,1986-07-04,40.0,55.313,43.325,36.0,48.039,4.0,-4.714,0.29925197910790835
CUB,Cuba,Miguel Díaz-Canel,1960-04-20,66.0,83.697,18.471,43.0,39.985,23.0,-21.513,0.6081472630046114
CYP,Cyprus,Nikos Christodoulides,1973-12-06,52.0,69.447,33.117,40.0,42.749,12.0,-9.631,0.4115173258806973
CZE,Czechia,Andrej Babiš,1954-09-02,71.0,85.148,15.126,45.0,36.34,26.0,-21.214,0.6099275465167974
DEU,Germany,Friedrich Merz,1955-11-11,70.0,82.619,16.346,46.0,37.861,24.0,-21.515,0.6042409542834161
DJI,Djibouti,Ismaïl Omar Guelleh,1947-11-27,78.0,98.994,8.469,26.0,47.138,52.0,-38.669,0.8488196693055599
DMA,Dominica,Roosevelt Skerrit,1972-06-08,54.0,71.866,26.227,37.0,39.975,17.0,-13.749,0.47388740470003354
DNK,Denmark,Mette Frederiksen,1977-11-19,48.0,56.458,38.239,42.0,43.073,6.0,-4.834,0.30419510515457016
DOM,Dominican Republic,Luis Abinader,1967-07-12,59.0,86.59,25.5,29.0,52.154,30.0,-26.654,0.6758845882742605
DZA,Algeria,Abdelmadjid Tebboune,1945-11-17,80.0,98.98,7.385,29.0,53.881,51.0,-46.496,0.9216899406344125
ECU,Ecuador,Daniel Noboa,1987-11-30,38.0,61.536,45.297,30.0,49.961,8.0,-4.664,0.3148237348104491
EGY,Egypt,Abdel Fattah el-Sisi,1954-11-19,71.0,97.356,10.419,25.0,48.766,46.0,-38.347,0.8386587041222431
ERI,Eritrea,Isaias Afwerki,1946-02-02,80.0,99.31,6.454,20.0,52.867,60.0,-46.414,0.9224897777211409
ESP,Spain,Pedro Sánchez,1972-02-29,54.0,61.159,35.137,47.0,39.877,7.0,-4.74,0.3150895798552109
EST,Estonia,Kristen Michal,1975-07-12,51.0,59.483,31.631,44.0,40.81,7.0,-9.18,0.3749375370200571
ETH,Ethiopia,Abiy Ahmed,1976-08-15,49.0,88.483,30.542,20.0,52.358,29.0,-21.815,0.6288443958298958
FIN,Finland,Petteri Orpo,1969-11-03,56.0,64.049,29.295,44.0,43.319,12.0,-14.023,0.45062995295474984
FJI,Fiji,Sitiveni Rabuka,1948-09-13,77.0,98.605,7.327,29.0,44.686,48.0,-37.359,0.8343469696914668
FRA,France,Emmanuel Macron,1977-12-21,48.0,55.64,39.891,43.0,44.65,5.0,-4.759,0.3008296195523307
FSM,Micronesia,Wesley Simina,1961-09-10,64.0,93.017,16.721,24.0,49.913,40.0,-33.192,0.7694700843221045
GAB,Gabon,Brice Oligui Nguema,1976-03-03,50.0,86.559,25.532,22.0,52.013,28.0,-26.481,0.6739144207538521
GBR,United Kingdom,Andy Burnham,1970-01-07,56.0,68.667,28.908,41.0,42.794,15.0,-13.886,0.46490948258773984
GEO,Georgia,Irakli Kobakhidze,1978-09-25,47.0,61.968,32.3,38.0,41.445,9.0,-9.145,0.3822166401401174
GHA,Ghana,John Mahama,1958-11-29,67.0,96.859,14.064,22.0,50.53,45.0,-36.466,0.8181641332886697
GIN,Guinea,Mamady Doumbouya,1985-12-05,40.0,81.84,32.786,19.0,53.727,21.0,-20.94,0.594829051072659
GMB,Gambia,Adama Barrow,1965-02-15,61.0,95.01,17.728,19.0,55.438,42.0,-37.711,0.8223920506668337
GNB,Guinea-Bissau,Horta Inta-A Na Man,1960-01-01,66.0,97.024,13.745,20.0,50.282,46.0,-36.538,0.8195713220946667
GNQ,Equatorial Guinea,Teodoro Obiang Nguema Mbasogo,1942-06-05,84.0,99.815,5.844,21.0,49.905,63.0,-44.061,0.9034216176108842
GRC,Greece,Kyriakos Mitsotakis,1968-03-04,58.0,65.276,28.985,48.0,38.249,10.0,-9.264,0.3939324950631347
